features,correlation
138,0.8610705195735912
634,0.8562190359005412
631,0.8541335121765546
74,0.8477361089152844
9,0.8214046894649771
614,0.8188591616015632
648,0.8175363030501065
443,0.8173711736077703
201,0.8036610481973977
649,0.799097133186886
642,0.7954921144529674
641,0.7944906710405844
619,0.7871269045635518
627,0.7861502582667395
643,0.7811714991139241
621,0.7801524997081741
637,0.774886348755154
1433,0.7720059748800199
620,0.7714688750803231
1782,0.7713782331989762
913,0.7712887343592134
1012,0.7630481941576235
1013,0.7618670725340776
914,0.7610663015354481
1278,0.7597142264709332
1285,0.7595932941484226
1783,0.7569360018240963
892,0.7532290642070334
1825,0.7515171053616323
663,0.7512519518804122
907,0.7486076443028906
1972,0.7477360280513294
1660,0.7470471064184575
651,0.7464055062158838
628,0.7457279560471194
991,0.7451516446347981
1661,0.7447008224400747
629,0.7433146424573657
1993,0.7427864515722316
1006,0.7425989612109398
650,0.7415579471935527
1776,0.7412931625585216
1300,0.741238999619618
1544,0.7379506590694204
1810,0.7375476700052807
29,0.7374310095769002
1675,0.7353346105491074
1286,0.7341059356047606
640,0.7331359526597344
1274,0.733105380785754
1797,0.7310742091659402
1327,0.728834884558256
928,0.7284889912285835
1573,0.7273291317965012
187,0.7255302418269568
123,0.7251163961028326
1462,0.7245173085380509
1811,0.7243444892389559
1279,0.7243034705828941
1027,0.722922610928822
1558,0.7217420365230969
652,0.7210056829275797
1342,0.7176829902139408
1383,0.7168995727063655
2050,0.7166933187339886
607,0.7161034117651416
1328,0.7145163180044999
1423,0.7142433202473241
2032,0.7136305064464928
492,0.7128651343083432
58,0.7124785034693139
899,0.7123063004596132
902,0.7118721294595388
1447,0.7116460795840127
2013,0.711185298255212
250,0.7111318111660201
1653,0.7109039272964532
978,0.7106542301651153
1852,0.7096388274673506
143,0.7068973972981076
1368,0.7062859766995547
1768,0.7056453696582998
172,0.7052450068567014
896,0.7044306629534386
1265,0.7033925922880558
1122,0.7028042500159543
108,0.7027414410524216
1075,0.7026878144037614
718,0.7023664746633914
79,0.7018066007416157
1001,0.6994715124466688
1738,0.6977982555376107
1559,0.6966820013820016
1005,0.6965745202734279
1257,0.6946765774550782
622,0.6946448664245671
630,0.6946441367984026
1551,0.6944410887309329
2183,0.6941091634207824
886,0.6924660437082939
1271,0.6904486484124805
1959,0.6895626922217656
1960,0.6876751452807811
1408,0.687117323586738
235,0.6855367166548442
1950,0.684372000916515
1440,0.6841478890341929
1287,0.6838000888253737
906,0.6836667812170226
1448,0.6831108979459427
165,0.6823439772960039
1837,0.6821343204317992
43,0.6810326763026957
477,0.6806380848465026
1369,0.68062833780295
101,0.6805729287840504
1288,0.6787933977870233
1961,0.6773598346737499
1284,0.676248900161233
1958,0.674725656914657
2083,0.6745097122138866
173,0.6739237412088797
1266,0.6737254080560524
1936,0.6721163249415079
1060,0.6718885186323121
1957,0.6716661621401392
109,0.6714692415549444
963,0.6686850655037643
1903,0.668649705470532
592,0.6673478782940795
1409,0.6664054101306335
550,0.6663020873917187
236,0.666202838893489
158,0.66610834575549
151,0.6647270542713782
1878,0.6643820649609397
2182,0.6636539296106518
1888,0.6632171890273189
1935,0.662893055860159
915,0.662765181605914
647,0.6625671883808238
87,0.6619084841616496
1889,0.661810264901144
916,0.6615278984167547
998,0.6605909247737466
894,0.6599229979353376
1838,0.6593418698851101
1982,0.6582678651588634
44,0.656128517816223
1267,0.6559701595306076
478,0.6558491964489733
1280,0.6557823375468668
1107,0.6551493559456184
1268,0.6545224822678701
1061,0.6543253002272261
1316,0.6542801264863295
1981,0.6540020594086138
1289,0.6526128098176595
1980,0.6524125207473466
81,0.6521282564666266
1357,0.6518962514150071
995,0.6513016651651587
2175,0.6504025878109655
1663,0.6477502515773785
22,0.6475629761764183
456,0.6468600471182802
145,0.6467028380343098
593,0.6466973750086742
214,0.6451691543890696
463,0.6451413233139017
14,0.6451225348149244
1662,0.6449165218779648
1282,0.6443353885582722
912,0.643146132846936
623,0.6430595460973954
448,0.6430589975134687
1039,0.6426622575698457
1108,0.6425903254731834
884,0.6422346486990431
558,0.6413042252013985
1785,0.6406922072293234
1436,0.6394333557326995
964,0.6388449003028335
908,0.6385987593484962
1784,0.6382388921809651
433,0.6381265153481112
97,0.6381123008416065
1014,0.6376135331511324
1781,0.6373767477061298
1809,0.6367875658800644
1864,0.6365878617650951
206,0.6360881004650255
1863,0.6359951334880473
942,0.6353639153845346
917,0.6352564883805211
645,0.634979810902206
1096,0.6348435481659187
1654,0.6347125815152012
893,0.6343263026266854
1547,0.634130009312413
1963,0.6340491062955472
1321,0.6335501054538197
161,0.6331865934152457
992,0.6320849213973238
1659,0.6316307183632062
703,0.6316291727878316
1361,0.6311295491829179
1984,0.6286178187605271
1015,0.6286056869095599
1664,0.6261796948707989
1657,0.6260470954183645
1242,0.6250483185420836
910,0.6249232413489424
1264,0.624830852151307
639,0.6229691653453657
36,0.6207337881962404
470,0.6195434370426304
1009,0.61866971734342
571,0.6184197419607562
1775,0.6182226881181344
885,0.6181623441102656
1011,0.6180928646210818
1430,0.6175740528945889
895,0.617552307554503
1723,0.6170511655108798
993,0.6155067408424758
26,0.615408338950543
1320,0.6146188644696149
1786,0.614543504206834
1243,0.6141237433310527
228,0.6133436286508928
1049,0.6119047552016594
1779,0.6117325323619143
1397,0.6112905433351423
1777,0.6107313128309527
1291,0.6095529522649782
909,0.6094062078308223
1724,0.6086314855405085
1655,0.608462071309763
615,0.6079829657983401
94,0.6077641284642553
1086,0.6075870123300015
1979,0.6072722627550353
644,0.6070935480469507
1807,0.6049348316522118
887,0.6038297393450194
1362,0.6035396115740864
682,0.6031379489521762
581,0.6005861856183393
985,0.5999923347745073
1812,0.5999731611104028
1813,0.598971711925586
1101,0.598961378342846
1401,0.5987685866196013
1281,0.597786912414801
654,0.5972839579461321
1753,0.5971450630949704
704,0.5967257779411569
1441,0.5963800655457896
1656,0.5961077114364023
1649,0.5959061296282915
32,0.5958989711018309
1557,0.5958583254022667
1326,0.5956806416343052
877,0.5952880586292274
466,0.5950658316596322
1778,0.595056157159387
1106,0.5946493050399624
1446,0.594474846925799
888,0.5936323838376983
1053,0.5934603949974822
224,0.592996876562068
626,0.5929649675813778
373,0.5914464597447995
378,0.590140686320738
326,0.5899874520124787
1016,0.5899238465736057
171,0.5896509357843355
1104,0.5890737918476203
107,0.5890000494231957
1754,0.5884431949022302
63,0.5877667506602273
1008,0.5874751145344068
11,0.5870429875681241
1887,0.5869838756186593
497,0.5869600397024513
16,0.5866441512229383
445,0.5861805148770969
208,0.5861610182538273
1168,0.5857078804155206
450,0.5854634775913975
