features,correlation
OverallQual,0.8214046894649678
GrLivArea,0.737431009576902
NeighborhoodCat,0.7124785034693136
GarageCars,0.6810326763026948
ExterQual,0.6451225348149168
KitchenQual,0.6207337881962424
1stFlrSF,0.615408338950542
FullBath,0.595898971101828
YrSoBu,0.5877667506602263
YearBuilt,0.5870429875681249
BsmtQual,0.5866441512229384
YrSoRecon,0.5685285173432852
YearRemodAdd,0.5659920578697358
TotRmsAbvGrd,0.5377017812094971
FireplaceQu,0.5322554421603896
Foundation_PConc,0.5311935334437805
Fireplaces,0.49199780725254777
OpenPorchSF,0.46062317190069363
GarageArea,0.4550876207527644
BsmtFinType1_GLQ,0.44136337415249693
GarageFinish_0,0.43214365805883104
GarageFinish_2,0.4196114605170263
GarageType_Attchd,0.41637697946054414
MasVnrArea,0.41399607139837186
HeatingQC,0.4054941266046176
LotArea,0.40282008803737535
MSSubClass_MSC_60,0.40237577674737834
GarageType_Detchd,0.38868094025646016
MasVnrType_None,0.38809446603688125
TotalBsmtSF,0.37331161753428277
BsmtExposure,0.3682614256151452
LotFrontage,0.36298910650571214
GarageQual,0.35883492380114707
Neighborhood_NridgHt,0.3518503232499515
CentralAir,0.35159757242074524
GarageCond,0.35035998173716204
MSZoning_RM,0.34745259679491597
WoodDeckSF,0.34322471517535136
Foundation_CBlock,0.337909078747167
Exterior2nd_VinylSd,0.33765148957059127
Exterior1st_VinylSd,0.3363509851901659
SaleType_New,0.33135011213998905
MSSubClass_MSC_30,0.3292075488809737
NewSale,0.3265348929377376
SaleCondition_Partial,0.32653489293773497
GarageType_None,0.3229938307572014
GarageFinish_None,0.3229938307572014
HalfBath,0.31418552833082725
MasVnrType_Stone,0.3132805987309551
GarageYrBlt,0.3067963036750871
Electrical_SBrkr,0.3059876858727752
Electrical_0,0.3059876858727752
PavedDrive,0.3046820311614233
MSZoning_RL,0.29887006450649406
LotShape,0.29432707270067876
Neighborhood_NoRidge,0.2775540986654545
HouseStyle_2Story,0.26330512988654065
BsmtCond,0.2608348857644002
Foundation_BrkTil,0.2516906667259269
GarageFinish_1,0.2374536661874502
BsmtFullBath,0.23709938237318354
newMSSubClass,0.23443756636504973
Neighborhood_IDOTRR,0.23305943342865895
Neighborhood_OldTown,0.23223166331429237
MasVnrType_BrkFace,0.23159234658310435
GarageType_BuiltIn,0.22302378893356525
HouseStyleCat,0.2171348870689257
Neighborhood_Edwards,0.21409474366455467
SaleType_WD,0.21237173286939773
BedroomAbvGr,0.20903545058831374
BsmtFinSF1,0.2082549632645111
BsmtUnfSF,0.20818169970484013
EnclosedPorch,0.207249091834995
BsmtFinType1_None,0.19962592489068412
BsmtFinType2_None,0.19962592489068412
BldgType_1,0.19947507896023361
RoofStyle_Hip,0.19858608441789177
RoofStyle_Gable,0.18901321235224475
MSZoning_C (all),0.188373586978603
Exterior1st_Wd Sdng,0.1883126237476186
Neighborhood_StoneBr,0.18559993005913994
Exterior2nd_Wd Sdng,0.1835208050723292
HouseStyle_1.5Fin,0.1810222300983046
2ndFlrSF,0.1808344837036926
Neighborhood_BrkSide,0.1753725836910368
MSSubClass_MSC_50,0.17354332614770243
Exterior1st_MetalSd,0.17327333900369885
Neighborhood_Somerst,0.17073230057913177
Exterior2nd_MetalSd,0.16786739199549205
Neighborhood_NAmes,0.16673742981525988
SaleCondition_Abnorml,0.16060864040298964
Fence,0.1605047623016233
Foundation_Slab,0.1589840859802919
Neighborhood_MeadowV,0.14936439090469952
Heating_Grav,0.14916299109773323
LotConfig_CulDSac,0.14834785533965272
Exterior1st_AsbShng,0.14742232661706958
KitchenAbvGr,0.14426409887629923
Neighborhood_Timber,0.13896884871410586
BsmtFinType1_Rec,0.13571396114227155
Heating_GasA,0.13427406108826068
Exterior2nd_AsbShng,0.1339325528624981
Functional,0.13192069391855546
BsmtFinType1_BLQ,0.13154034013060656
Condition1_Artery,0.13033359798402377
Neighborhood_BrDale,0.12552025802626107
Condition1_Feedr,0.12526289759124098
Neighborhood_Sawyer,0.1229955778922684
BsmtFinType2_Unf,0.12230860910084006
MSZoning_FV,0.12034223760704915
Condition1_Norm,0.11936698515244437
RoofMatl_WdShngl,0.11891691738485528
Neighborhood_CollgCr,0.11833853313783088
BldgType_Duplex,0.11699630369824313
MSSubClass_MSC_90,0.11699630369824313
MSSubClass_MSC_160,0.11531274266573915
BldgType_2fmCon,0.11016342447545605
BldgType_Twnhs,0.10911208025687989
MSSubClass_MSC_180,0.10861737158236706
ScreenPorch,0.10589745665311928
HouseStyle_1.5Unf,0.10571020082045586
Alley,0.10543997915274661
MSSubClass_MSC_190,0.10488807945532477
SaleCondition_Normal,0.10193486322364077
MSSubClass_MSC_45,0.10144734812079376
BsmtFinType1_Unf,0.09713310961258152
HouseStyle_SFoyer,0.09592246896538126
Exterior1st_CemntBd,0.09447324117107603
MSSubClass_MSC_120,0.09301759326674126
RoofMatl_CompShg,0.09222677885131417
Exterior2nd_CmentBd,0.09210614333493324
LotConfig_Inside,0.08939210431764132
Neighborhood_Crawfor,0.08702743798284539
GarageType_CarPort,0.08599750679133897
SaleType_COD,0.08575803014551667
BsmtFinType1_LwQ,0.08255289035159967
Exterior1st_BrkComm,0.08029886768181045
PoolQC,0.08029114647849848
Neighborhood_Gilbert,0.07894528187086605
Heating_Wall,0.07800603248851902
MiscFeature_None,0.07743837845305489
Exterior1st_HdBoard,0.07648269630280591
PoolArea,0.07626877544183928
Neighborhood_ClearCr,0.0756039032954863
HouseStyle_1Story,0.07558294896998072
BsmtFinType1_ALQ,0.07458341534357096
Recon,0.07406590662032628
MiscFeature_Shed,0.07262918196316794
MSZoning_RH,0.07227596843385956
Neighborhood_Veenker,0.06986137709754542
MiscVal,0.06703686213243829
SaleCondition_AdjLand,0.06495751477371083
MiscFeature_Othr,0.06190492937620063
Condition1_PosN,0.06160157333442307
Neighborhood_SWISU,0.0613425508396557
Neighborhood_NWAmes,0.061247936203426945
Exterior1st_WdShing,0.06051991046734621
3SsnPorch,0.058842740393470205
Exterior2nd_Stucco,0.058233901287370035
Street,0.05736397339629681
Exterior2nd_Brk Cmn,0.056966913706677814
Condition2_Feedr,0.056849939199510396
MSSubClass_MSC_20,0.05491505224706333
Condition2_PosN,0.05487687176492384
Condition2_RRNn,0.054602267993786945
Heating_Floor,0.05459320323337962
LowQualFinSF,0.05450129372086829
Exterior2nd_Wd Shng,0.05394481639278278
RoofMatl_WdShake,0.05297440469114737
Condition1_PosA,0.052547940488872937
BsmtFinType2_BLQ,0.0517390432063916
Exterior2nd_HdBoard,0.04996042849455991
SaleType_ConLD,0.049507748243314526
RoofStyle_Gambrel,0.04942555533332891
Condition2_Norm,0.048707011978716255
BsmtFinType2_ALQ,0.047972336507928655
SaleCondition_Family,0.04555662000629997
Exterior2nd_ImStucc,0.04493270829636101
Condition1_RRAe,0.044013036764225896
Exterior1st_Stucco,0.0439692026947775
Condition2_PosA,0.04376902614461436
MasVnrType_BrkCmn,0.043573446978483095
SaleType_Con,0.042657784990730405
Exterior2nd_Other,0.04254728916146874
MoSold_Apr,0.04254255267973129
Condition2_Artery,0.04210774647180808
Neighborhood_Mitchel,0.04203193024584189
HotSeason,0.041438056441267565
Exterior1st_Stone,0.0401186422178575
MoSold_Sep,0.03964993709585419
SaleType_Oth,0.03962751470030256
MoSold_May,0.039531346720707176
Neighborhood_Blmngtn,0.039525266309274804
MSSubClass_MSC_85,0.037820507738053524
SaleType_ConLw,0.03733366249349283
OverallCond,0.03682146866393345
LandSlope,0.03677411651295386
YrSold_sold2007,0.03563255087143874
Neighborhood_SawyerW,0.03427001688207133
Exterior1st_AsphShn,0.0335088673037332
HouseStyle_2.5Fin,0.03168373255722852
MSSubClass_MSC_70,0.031089251263569304
Neighborhood_NPkVill,0.03107085857687798
GarageType_Basment,0.030933697085434458
MoSold_Jan,0.030819204812616335
MoSold_Nov,0.03045209047823039
BsmtFinSF2,0.03032652646400162
Exterior1st_CBlock,0.03030997834378529
Exterior2nd_CBlock,0.03030997834378529
Exterior1st_BrkFace,0.030244896998741458
Exterior1st_ImStucc,0.029641114582021497
BsmtFinType2_Rec,0.029136754822886662
RoofStyle_Shed,0.026675978682710502
MiscFeature_TenC,0.026567210946251224
Heating_OthW,0.026193972711170153
Heating_GasW,0.026111696023581182
ExterCond,0.026090830966480467
HouseStyle_2.5Unf,0.025149639169110366
SaleCondition_Alloca,0.024975784966845375
Exterior2nd_AsphShn,0.02440702558270905
RoofMatl_Membran,0.024299237015776104
Exterior2nd_Plywood,0.024058696240396495
RoofStyle_Flat,0.02347686757434872
SaleType_CWD,0.022883994319533595
Condition1_RRNn,0.022767670290362318
LotConfig_FR3,0.0225347607265205
YrSold_sold2010,0.021199741643852736
YrSold_sold2009,0.020995102876407202
BsmtFinType2_LwQ,0.020858443351187857
MoSold_Jul,0.020552584906734332
MSSubClass_MSC_40,0.020160345809985696
GarageType_2Types,0.02008570862886559
MoSold_Dec,0.019659064852538894
MoSold_Aug,0.01896690865745304
Exterior2nd_Stone,0.01843423467402516
Neighborhood_Blueste,0.01831641039983743
Condition1_RRAn,0.016777650596123076
Foundation_Stone,0.01461595526677408
YrSold_sold2006,0.014391479115765687
Exterior2nd_BrkFace,0.01390283688115582
Condition2_RRAn,0.01291400307111764
RoofMatl_Roll,0.012868522950121359
Utilities,0.012629672484853955
Condition1_RRNe,0.012476948225562478
YrSold_sold2008,0.01243393341153661
Exterior1st_Plywood,0.012181644346376416
HouseStyle_SLvl,0.011815200171254044
MoSold_Feb,0.011090283621324009
MSSubClass_MSC_75,0.01074805338767533
LandContour,0.009825885391544525
RoofMatl_Tar&Grv,0.009616075929181338
Foundation_Wood,0.008917284930467438
Condition2_RRAe,0.008573880971889726
RoofStyle_Mansard,0.005808621063746974
RoofMatl_Metal,0.005028990462811887
LotConfig_FR2,0.004902156990349085
BsmtHalfBath,0.0048645515461162555
MoSold_Jun,0.004668435146314142
MoSold_Mar,0.004292207132258921
LotConfig_Corner,0.0042248202977747335
MoSold_Oct,0.0032256142626618683
SaleType_ConLI,0.0030638705771855626
BsmtFinType2_GLQ,0.0023552091962814625
MiscFeature_Gar2,0.0016279261332432676
MSSubClass_MSC_80,0.0011126914097404424
